"id","user_id","product_id","purchased_at","returned_at","created_at","updated_at","added_to_cart_at","_airbyte_extracted_at"
948,949,87,2020-07-28 23:54:17.000,,2014-12-02 23:54:17.209,2024-09-18 05:28:01.000,2020-03-04 23:54:17.000,2024-09-18 05:28:01.592
912,912,30,2024-07-18 11:51:32.000,,2003-02-18 11:51:32.795,2024-09-18 05:28:01.000,2021-12-25 11:51:32.000,2024-09-18 05:28:01.593
69,69,36,,,2004-05-03 10:19:52.632,2024-09-18 05:28:01.000,2008-06-02 10:19:52.000,2024-09-18 05:28:01.527
4,4,8,2022-02-26 19:21:42.000,,2011-02-28 19:21:42.406,2024-09-18 05:28:01.000,2016-02-20 19:21:42.000,2024-09-18 05:28:01.526
867,868,31,2022-09-07 21:28:44.000,,2014-02-07 21:28:44.079,2024-09-18 05:28:01.000,2017-12-08 21:28:44.000,2024-09-18 05:28:01.592
551,551,32,,,2011-10-14 07:54:40.262,2024-09-18 05:28:01.000,2015-04-26 07:54:40.000,2024-09-18 05:28:01.540
555,555,90,,,2020-09-01 08:16:52.206,2024-09-18 05:28:01.000,2021-08-19 08:16:52.000,2024-09-18 05:28:01.540
919,919,80,2017-07-15 11:47:58.000,,2001-06-07 11:47:58.090,2024-09-18 05:28:01.000,2017-02-12 11:47:58.000,2024-09-18 05:28:01.594
337,338,49,2018-07-09 02:01:05.000,,2006-05-10 02:01:05.811,2024-09-18 05:28:01.000,2015-12-25 02:01:05.000,2024-09-18 05:28:01.535
577,578,60,2021-03-21 21:32:20.000,,2009-11-04 21:32:20.978,2024-09-18 05:28:01.000,2020-08-13 21:32:20.000,2024-09-18 05:28:01.538
740,740,18,2016-04-14 08:47:14.000,,2002-01-09 08:47:14.814,2024-09-18 05:28:01.000,2007-05-07 08:47:14.000,2024-09-18 05:28:01.544
34,34,87,,,2005-06-21 11:20:11.315,2024-09-18 05:28:01.000,2008-10-28 11:20:11.000,2024-09-18 05:28:01.530
47,48,61,2021-07-19 08:56:43.000,,2001-07-01 08:56:43.019,2024-09-18 05:28:01.000,2015-08-18 08:56:43.000,2024-09-18 05:28:01.531
920,920,44,2015-02-12 02:22:27.000,,2007-05-17 02:22:27.464,2024-09-18 05:28:01.000,2010-07-18 02:22:27.000,2024-09-18 05:28:01.594
558,559,47,2024-07-20 14:33:20.000,,2006-12-18 14:33:20.134,2024-09-18 05:28:01.000,2022-07-10 14:33:20.000,2024-09-18 05:28:01.541
116,116,37,,,2011-11-10 20:27:54.379,2024-09-18 05:28:01.000,2023-01-29 20:27:54.000,2024-09-18 05:28:01.532
466,466,10,2022-11-07 07:34:16.000,,2000-03-03 07:34:16.487,2024-09-18 05:28:01.000,2002-10-22 07:34:16.000,2024-09-18 05:28:01.538
257,258,16,2023-06-29 18:04:23.000,,2002-07-13 18:04:23.970,2024-09-18 05:28:01.000,2022-12-07 18:04:23.000,2024-09-18 05:28:01.530
565,565,3,2019-11-12 11:15:22.000,,2012-07-26 11:15:22.459,2024-09-18 05:28:01.000,2019-05-21 11:15:22.000,2024-09-18 05:28:01.541
840,840,63,2024-02-08 10:11:02.000,,2017-04-11 10:11:02.452,2024-09-18 05:28:01.000,2023-12-17 10:11:02.000,2024-09-18 05:28:01.591
887,888,9,2021-04-23 04:27:36.000,,2005-09-10 04:27:36.395,2024-09-18 05:28:01.000,2019-04-11 04:27:36.000,2024-09-18 05:28:01.592
830,830,7,2017-01-03 07:26:31.000,,2001-05-25 07:26:31.502,2024-09-18 05:28:01.000,2007-03-26 07:26:31.000,2024-09-18 05:28:01.590
859,859,8,2024-08-02 00:55:42.000,,2008-01-28 00:55:42.586,2024-09-18 05:28:01.000,2020-02-10 00:55:42.000,2024-09-18 05:28:01.592
141,141,47,,,2012-08-24 05:59:52.304,2024-09-18 05:28:01.000,2018-02-20 05:59:52.000,2024-09-18 05:28:01.528
168,169,63,2021-01-26 09:11:05.000,2024-07-26 09:11:05.000,2011-04-01 09:11:05.427,2024-09-18 05:28:01.000,2014-10-17 09:11:05.000,2024-09-18 05:28:01.531
145,145,35,,,2019-02-06 19:40:58.278,2024-09-18 05:28:01.000,2022-08-08 19:40:58.000,2024-09-18 05:28:01.529
764,764,28,,,2008-11-21 02:28:43.543,2024-09-18 05:28:01.000,2014-08-16 02:28:43.000,2024-09-18 05:28:01.588
366,366,55,2019-06-23 23:24:08.000,,2000-09-01 23:24:08.249,2024-09-18 05:28:01.000,2003-10-01 23:24:08.000,2024-09-18 05:28:01.536
774,774,80,,,2004-09-01 09:10:59.569,2024-09-18 05:28:01.000,2010-10-26 09:10:59.000,2024-09-18 05:28:01.589
606,606,31,,,2010-07-06 10:22:54.806,2024-09-18 05:28:01.000,2014-06-13 10:22:54.000,2024-09-18 05:28:01.540
877,878,81,2023-04-09 06:03:53.000,,2006-08-21 06:03:53.001,2024-09-18 05:28:01.000,2020-12-27 06:03:53.000,2024-09-18 05:28:01.593
135,135,53,2019-01-04 21:31:03.000,,2012-05-05 21:31:03.194,2024-09-18 05:28:01.000,2017-12-16 21:31:03.000,2024-09-18 05:28:01.528
579,579,50,2021-08-11 21:40:11.000,,2016-03-13 21:40:11.963,2024-09-18 05:28:01.000,2016-10-18 21:40:11.000,2024-09-18 05:28:01.539
588,589,24,2023-12-18 23:33:32.000,2024-01-03 23:33:32.000,2021-08-11 23:33:32.343,2024-09-18 05:28:01.000,2023-10-30 23:33:32.000,2024-09-18 05:28:01.539
943,943,21,,,2002-03-22 18:23:35.608,2024-09-18 05:28:01.000,2012-03-07 18:23:35.000,2024-09-18 05:28:01.595
918,919,86,2024-07-08 20:18:57.000,,2011-01-04 20:18:57.045,2024-09-18 05:28:01.000,2011-02-24 20:18:57.000,2024-09-18 05:28:01.594
15,15,60,2024-04-29 06:30:12.000,,2009-07-21 06:30:12.253,2024-09-18 05:28:01.000,2023-08-08 06:30:12.000,2024-09-18 05:28:01.528
186,186,9,2024-04-15 03:48:34.000,,2013-12-12 03:48:34.434,2024-09-18 05:28:01.000,2023-04-09 03:48:34.000,2024-09-18 05:28:01.533
450,450,95,2021-08-07 13:43:29.000,,2005-06-19 13:43:29.839,2024-09-18 05:28:01.000,2008-11-07 13:43:29.000,2024-09-18 05:28:01.536
384,384,86,2024-08-16 18:08:13.000,,2013-10-10 18:08:13.384,2024-09-18 05:28:01.000,2023-03-17 18:08:13.000,2024-09-18 05:28:01.535
301,301,64,2022-01-21 02:25:36.000,2024-04-18 02:25:36.000,2013-02-27 02:25:36.925,2024-09-18 05:28:01.000,2020-06-29 02:25:36.000,2024-09-18 05:28:01.532
518,519,99,,,2001-05-16 08:13:41.495,2024-09-18 05:28:01.000,2009-06-18 08:13:41.000,2024-09-18 05:28:01.537
392,392,12,2013-01-29 08:40:35.000,,2008-12-02 08:40:35.712,2024-09-18 05:28:01.000,2012-02-23 08:40:35.000,2024-09-18 05:28:01.536
798,799,23,,,2007-12-31 12:46:43.305,2024-09-18 05:28:01.000,2024-02-09 12:46:43.000,2024-09-18 05:28:01.590
696,696,59,2024-09-17 08:56:23.000,,2022-12-11 08:56:23.124,2024-09-18 05:28:01.000,2024-09-08 08:56:23.000,2024-09-18 05:28:01.542
1,1,31,2023-10-12 12:35:58.000,,2002-02-01 12:35:58.303,2024-09-18 05:28:01.000,2015-09-10 12:35:58.000,2024-09-18 05:28:01.525
417,418,96,2024-03-22 19:54:26.000,,2015-08-01 19:54:26.543,2024-09-18 05:28:01.000,2023-05-09 19:54:26.000,2024-09-18 05:28:01.538
410,410,31,,,2022-04-17 06:17:19.791,2024-09-18 05:28:01.000,2024-05-02 06:17:19.000,2024-09-18 05:28:01.538
652,652,52,2024-08-06 03:02:13.000,,2016-10-01 03:02:13.913,2024-09-18 05:28:01.000,2023-12-29 03:02:13.000,2024-09-18 05:28:01.542
233,233,52,2011-01-10 00:21:35.000,,2008-02-15 00:21:35.438,2024-09-18 05:28:01.000,2009-07-08 00:21:35.000,2024-09-18 05:28:01.528
777,778,95,2023-05-17 16:47:43.000,,2005-10-03 16:47:43.862,2024-09-18 05:28:01.000,2022-07-16 16:47:43.000,2024-09-18 05:28:01.589
655,655,63,2016-08-15 21:32:25.000,,2007-11-03 21:32:25.191,2024-09-18 05:28:01.000,2007-11-04 21:32:25.000,2024-09-18 05:28:01.543
103,103,59,2024-07-21 15:44:35.000,,2009-03-06 15:44:35.931,2024-09-18 05:28:01.000,2023-02-03 15:44:35.000,2024-09-18 05:28:01.531
724,724,57,2021-06-15 06:46:52.000,2024-02-28 06:46:52.000,2002-03-23 06:46:52.432,2024-09-18 05:28:01.000,2014-04-20 06:46:52.000,2024-09-18 05:28:01.543
371,371,53,2021-12-26 06:36:29.000,,2000-10-19 06:36:29.044,2024-09-18 05:28:01.000,2008-01-11 06:36:29.000,2024-09-18 05:28:01.536
743,743,28,2023-08-27 17:12:25.000,,2007-12-17 17:12:25.535,2024-09-18 05:28:01.000,2021-04-20 17:12:25.000,2024-09-18 05:28:01.544
507,508,63,2019-11-09 23:25:53.000,2023-05-03 23:25:53.000,2010-06-14 23:25:53.037,2024-09-18 05:28:01.000,2019-06-04 23:25:53.000,2024-09-18 05:28:01.535
702,702,14,2021-01-28 20:51:31.000,,2003-09-29 20:51:31.671,2024-09-18 05:28:01.000,2020-04-13 20:51:31.000,2024-09-18 05:28:01.542
716,716,94,,,2017-12-29 11:57:07.314,2024-09-18 05:28:01.000,2021-05-21 11:57:07.000,2024-09-18 05:28:01.543
573,573,50,2010-08-10 03:21:06.000,,2002-02-23 03:21:06.107,2024-09-18 05:28:01.000,2010-03-10 03:21:06.000,2024-09-18 05:28:01.538
747,748,86,2024-06-18 04:58:13.000,,2005-06-24 04:58:13.957,2024-09-18 05:28:01.000,2023-12-01 04:58:13.000,2024-09-18 05:28:01.544
808,809,70,2021-01-24 03:20:08.000,,2013-09-10 03:20:08.513,2024-09-18 05:28:01.000,2019-04-03 03:20:08.000,2024-09-18 05:28:01.590
780,780,66,2024-04-23 02:45:16.000,,2000-09-12 02:45:16.678,2024-09-18 05:28:01.000,2023-07-12 02:45:16.000,2024-09-18 05:28:01.589
855,855,40,2024-09-14 10:14:22.000,,2001-07-31 10:14:22.164,2024-09-18 05:28:01.000,2024-08-13 10:14:22.000,2024-09-18 05:28:01.591
440,440,56,2024-01-24 00:02:12.000,,2012-05-04 00:02:12.861,2024-09-18 05:28:01.000,2023-10-19 00:02:12.000,2024-09-18 05:28:01.541
381,381,91,2015-06-19 16:16:19.000,2016-12-01 16:16:19.000,2001-05-27 16:16:19.670,2024-09-18 05:28:01.000,2007-09-02 16:16:19.000,2024-09-18 05:28:01.534
963,963,27,2016-03-29 01:57:05.000,,2006-08-13 01:57:05.010,2024-09-18 05:28:01.000,2015-01-03 01:57:05.000,2024-09-18 05:28:01.594
832,832,17,2018-12-31 03:49:28.000,,2007-03-03 03:49:28.683,2024-09-18 05:28:01.000,2015-04-18 03:49:28.000,2024-09-18 05:28:01.590
629,629,90,2019-04-03 20:13:54.000,,2011-06-09 20:13:54.881,2024-09-18 05:28:01.000,2017-01-05 20:13:54.000,2024-09-18 05:28:01.541
240,240,60,2023-08-28 10:35:20.000,2023-11-09 10:35:20.000,2000-05-12 10:35:20.256,2024-09-18 05:28:01.000,2021-11-28 10:35:20.000,2024-09-18 05:28:01.529
332,332,19,,,2001-10-16 12:22:09.149,2024-09-18 05:28:01.000,2008-10-27 12:22:09.000,2024-09-18 05:28:01.534
59,59,61,2024-02-24 19:18:43.000,2024-03-03 19:18:43.000,2000-07-09 19:18:43.958,2024-09-18 05:28:01.000,2024-02-18 19:18:43.000,2024-09-18 05:28:01.533
561,561,22,2023-09-09 17:06:38.000,,2008-06-24 17:06:38.317,2024-09-18 05:28:01.000,2012-02-22 17:06:38.000,2024-09-18 05:28:01.541
270,270,59,2024-08-07 04:14:36.000,,2001-01-26 04:14:36.964,2024-09-18 05:28:01.000,2024-04-01 04:14:36.000,2024-09-18 05:28:01.531
685,685,41,2009-04-22 01:18:07.000,,2000-07-08 01:18:07.320,2024-09-18 05:28:01.000,2005-08-05 01:18:07.000,2024-09-18 05:28:01.544
504,504,97,2020-07-18 20:48:41.000,,2009-11-15 20:48:41.938,2024-09-18 05:28:01.000,2012-09-03 20:48:41.000,2024-09-18 05:28:01.541
742,742,23,2014-10-24 16:34:40.000,2023-09-15 16:34:40.000,2010-09-06 16:34:40.501,2024-09-18 05:28:01.000,2013-09-15 16:34:40.000,2024-09-18 05:28:01.544
344,344,51,2015-01-24 10:11:26.000,,2002-10-29 10:11:26.031,2024-09-18 05:28:01.000,2003-02-14 10:11:26.000,2024-09-18 05:28:01.535
684,684,51,,,2014-11-02 01:02:55.672,2024-09-18 05:28:01.000,2019-11-17 01:02:55.000,2024-09-18 05:28:01.544
449,449,68,2022-11-08 05:19:18.000,,2013-11-19 05:19:18.618,2024-09-18 05:28:01.000,2021-10-28 05:19:18.000,2024-09-18 05:28:01.536
600,600,92,,,2006-04-11 18:16:45.715,2024-09-18 05:28:01.000,2006-11-01 18:16:45.000,2024-09-18 05:28:01.540
